 Blood Bank Name, Address, Contact No, Latitude, Longitude
Singareni Collieries Co.Ltd Blood Bank,"Area Hospital Blood Bank, Ram Mandir, Godavarikhani",08728-244362,18.75955,79.481638
Nelavelly Blood Bank,"(A Unit Of Nelavelly Laxma Rao Social Service Charitable Trust)
Door No:7-1-236, Santoshnagar, Opposite SKNR Women Degree College",8724230333,18.8014126,78.9207368
"Indian Red Cross Society Jagityal, Blood Bank","District Headquarters Hospital JAGTIAL 
First Floor, Old Bus Stand",9441290111,18.438555,79.128841
Government District Head Quarters Hospital Blood Bank,"Savaran Street, Manchiryal Chowrastha","0878 2240223, 0878 2240337",18.438555,79.128841
Indian Red Cross Society Blood Bank,"D.No.4-1-22, Osmanpura, 
Opp to Andhra Bank Main Branch",0878 6451199,18.438555,79.128841
Prathima Institute of Medical Sciences Blood Bank,"1st Floor, Hospital Building, Nagnur","0878 2216500, 08782216555, 08782216380/81",18.498565,79.151148
Apollo Reach Hospitals - Apollo Blood Bank,"H.No.4-72, 3rd Floor, Subhash Nagar, 
Near Railway station
",0878 2200000,18.454907,79.13294
The APVVP District Head Quarters Hospital Blood Bank,"1st Floor, Room.No.31, O.P. Block, Wyra Road, Khammam",08742 224815,17.247253,80.151445
Rudhira Voluntary Blood Bank,"(A Unit of Rudhira Health Organization), H.No.11-4-25/A, 1st & 2nd Floor, Wyra Road, Khammam",08742 220666,17.769321,80.499386
Mamata General Hospital Blood Bank,"D. No: 5-7-200, Giriprasad Nagar Pakabanda Bazar, Khammam",08742 230864,17.2387986,80.1606364
Siva Multi Speciality Hospital Blood Bank,"H.No.11-2-44, Balaji Nagar, Wyra Road, Khammam",08742 231883,17.2508,80.144151
Asha Emergency & Chest Hospital Blood Bank,"D. No.: 4-851/1, Opposite Bus Stand, Kalabharathi Road, Sattupally, Khammam
",8790276999,17.24618,80.832243
Indian Red Cross Society ,"Blood Bank, Area Hospital, Gadwal, Mahaboobnagar",08546 271757,16.233659,77.808136
Indian Red Cross Society Blood Bank,"Ground & First Floor,D.No.1-6-65/5/A,1-6-65/5/A, Modern High School Chourastha","08542 223225,08542 246225 ",16.0,78.0011525
IRCS & RCH-II  Blood Bank District Hospital Wanaparthy ,"Blood Bank, District Hospital,Wanaparthy, WANAPARTHY",08545 230133,16.362312,78.062182
SVS Medical College Hospital Blood Bank,"Blood Bank, Ist Floor, Yenugonda, Mahaboobnagar",9958758150,16.7575829,78.0429107
Bharat Heavy Electricals Limited Hospital ,"Blood Bank, Ramachandrapuram, Medak",040 23184386,17.496713,78.305268
Lions Club Blood Bank,"Govt Area Hospital, Main Road , Suryapet - Nalgonda Dist  08684-224699",08684 224699,17.057571,79.262029
"Indian Red Cross Society ,RCH-II","Blood Bank, RCH-II, TVVP Area Hospital, 1st Floor, Suryapet, dist:Suryapet.",8684224699,17.141493,79.606681
Sai Prasad Orthopedic Hospital,"Blood Bank, H.No.1-2-270/45/3, Opposite Vijetha Hotel, Suryapet, Nalgonda",08684 223223,17.135315,79.633367
Indian Red Cross Society,"Blood Bank, Area Hospital, Kamareddy, Nizamabad",08468 221096,18.322975,78.337899
V.T.Thakur Memorial Rotary,"Blood Bank, H.No.1-4-31/1, Godown Road, Bathukammakunta, Kamareddy, Nizamabad",08468 222222,18.323995,78.334305
The Government District Headquarters Hospital ,"Blood Bank, 7th  Floor, Khaleelwadi, R.P. Road, Nizamabad",08462 251251,18.675665,78.099084
Indian Red Cross Society,"Blood Bank, M.R.O. Office, Complex, Khaleelwadi, Nizamabad",08462 222002,18.672505,78.094087
Perali Narasaiah Memorial Charitable Trust ,"Blood Bank, H.No.5-7-71, Khaleelwadi, Nizamabad",08462 220141,18.674236,78.10156
S.B.Voluntary Blood Bank," H.No.5-6-812, 3rd Floor, Amrutha Laxmi Hospital, Opposite Rajiv Gandhi Auditorium, Khaleelwadi, Nizamabad",08462 646430,18.673955,78.102653
M.M.Voluntary Blood Bank,"4-194, Ferozguda, Balanagar, Hyderabad",040 23774469,17.465037,78.462018
BBR Multispeciality Hospital Blood Bank,"H. No.: 7-4-194, Ferozguda, Near Bank of India, Balanagar, Hyderabad","040 23773333, 040 23778800",17.464246,78.457112
Janani Voluntary Blood Bank,"D.No.125-28-11/1, GPR Complex, KPHB Colony, Kukatpally, Hyderabad",040 23150496,17.491139,78.398166
Life Voluntary Blood Bank,"MIG-323,Above Syndicate Bank,Road no-4, Remedy hospital lane,  First Floor, KPHB Colony, Phase-I, Kukatpally, Ranga Reddy. ","040 23059222, 040 23159222",17.492862,78.39781
Ozone Institute of Medical Sciences Hospital Blood Bank,"H. No.: 11-13-201/33, Plot No. 23, 25 & 26. Road No. 4, Green Hills Colony, L. B. Nagar, Hyderabad","040 30108109, 040 64556533",17.36107,78.549759
Rajyalakshmi Charitable Trust Blood Bank (A Unit of Rajyalakshmi Charitable Trust),"1st Floor, D.No.18-77/78, Street No.3, Kamala Nagar, Chaitanyapuri, Dilsukhnagar, Hyderabad",040 64597760,17.367454,78.530729
Continental Hospital Blood Bank,"Plot No. 3, Road No. 2, IT & Financial district, Nanakramguda, Hyderabad","040 67000000, Extn: 1105",17.417886,78.339922
ADRM Hospital and Blood Bank,"4th Floor, D.No. 9-2, Plot No. 3, Ramanthapur, Hyderabad",040 27035588,17.398478,78.536069
Narayana Hrudayalaya Mallareddy Hospital Blood Bank," # 1-1-216, Suraram &#39;X&#39; Road, Qutbullapur Mandal, Jeedimetla, Hyderabad","040 23783106, 040  23783000 Extn: 3106",17.544026,78.433044
Ram Hospital Blood Bank,"2nd Floor,Ram Hospital, D.No.57/A, Shapur Nagar, IDA., Jeedimetla, Hyderabad",040 23095757.9703730554,17.516138,78.447736
Malla Reddy Medical College and Malla Reddy General Hospital Blood Bank,"Survey No.138, Suraram Main Roads, Quthbullapur Mandal",040 23783000 Extn: 3106,17.545201,78.432739
Shadan Institute of Medical Sciences Teaching Hospital & Research Centre Blood Bank,"Peerancheru, Himayath Sagar Road, Rajendra Nagar Mandal",040-20021037,17.3544443,78.3740247
Aware Global Hospital Blood Bank,"Ground Floor(North Block), Room No. 702 to 710, D.No.08-16-01, Sowbhagya Nagar, Sagar Road, Saroor Nagar",040 24111111 Extn: 787,17.3460156,78.5396028
Medicity Institute of Medical Sciences Blood Bank,"Hospital Building, Ground Floor, Ghanapur(V), Medchal Mandal",08418 256256 Extn: 238,17.616549,78.5481859
Usha Mullapudi Cardiac Centre,"Gajularamaramb (v), Quthbullapur Municipality",040 23090609 Ext: 221 & 224,17.5207029,78.4293505
Bhaskar Medical College and General Hospital Blood Bank,"Sy. No.220, 221/2 & 228, Yenkapally Village, Moinabad Mandal",08413 235446 Extn: 214,17.3327,78.2998
Dr. V. R. K. Womens college and general Hospital Blood Bank,"Sy.No.176/38, Aziznagar(v), Moinabad Mandal",08413 235074,17.3527998,78.3334909
SLMS Hospital Blood Bank,"Nagole &#39;x&#39; Roads, Ranga Reddy",040 64579998,17.376463,78.557369
Citizens Hospital Blood Bank,"D.No.1-100/1/CCH, Nallagandla Village, Serilingampally Mandal","040 67191919, 040-67192580 Extn: 2581/2582, ",17.470667,78.311308
Indian Red Cross Society Blood Bank,"Govt. Community Health Centre, Vikarabad, Ranga Reddy",08416 252227,17.33643,77.904848
"Indian Red Cross Society, Blood Bank","Opp: Dist. Collectorate, Subedari,Hanamkonda.",0870 2456765,18.005635,79.557155
Singareni Collieries Company Limited Area Hospital Blood Bank,"Bhupalpalli, Warangal ",08713 248104,18.400965,79.852782
Kakatiya Voluntary Blood Bank (A Unit of Life Care Medical and Educational Society),"Telengana Bhavan, Opposite Alankar Main Road, Hanumakonda, Warangal",0870-2448243,18.003153,79.579693
Bimal Singha Memorial Hospital Blood Bank,"Bimal Singha Memorial Hospital Kamalpur,  DhalaiTripura
",03826 262232,24.196139,91.831476
District Hospital  Blood Bank Dharmanagar,"District Hospital North Tripura, Hospital Road",0382 2231621,24.234,92.09507
R.G.M Hospital Blood Bank Unakoti ,"District Hospital Unakoti, Kailashahar, Unakoti, Opp to District Jail",0382 4222221,24.304612,92.033366
Indira Gandhi Memorial Hospital Blood Bank,"Indira Gandhi Memorial (I.G.M) Hospital, Akhaura Road, Agartala, Tripura West.","0381 2325736, 0381 2326614, 0381 2315875",23.8311,91.276015
Tripura Medical College and Dr. B.R.A.M. Teaching Hospital Blood Bank,"Tripura Medical College, Hapania, Agartala, West Tripura.",0381 2374144,23.783323,91.25688
ILS Hospital Blood Bank,"Capital Complex Extension, P.O. New Secretariat, Kunjaban, Agartala, Tripura.

",0381 2415000,23.867534,91.289606
Agartala Govt. Medical College GBP Hospital Blood Bank,"Agartala Government Medical College and G.B. Hospital Complex, P.O.- Kunjaban, Agartala, Tripura",0381 2355069,23.51648,91.17531
Military Hospital,"Idgah Colony, Agra, Uttar Pradesh 282001",0562 2452712,27.152822,77.999201
Samarpan Blood Bank,"Samarpan Bhawan
Delhi Gate","0562 2855080, 0562 4004644",27.19704,77.997713
District Hospital Blood Bank,"MG Road, Chhipitola, Rakabganj, Agra
",0562 2463043,27.17064,78.010456
S.N. Medical College,Meerut,05622 260353,27.188073,78.006357
Agra City Blood Bank,"71, M.G. Road, Opposite to  Subhash Park",0562 2262122,27.179146,78.002405
Goyal Jan Suvidha Charitable Blood Bank,Sanjay Place,0562 3255164,27.198683,78.003769
Life Line Charitable Blood Bank,"156 A, Gulab Rai Marg, Delhi Gate",9997031902,28.33669,79.420104
Pushpanjali Hospital and Research Centre Private limited,Delhi Gate,0562 4024000,27.198608,77.995402
Sanjeevani Charitable Blood Bank ,"A Unit of Sanjeevani Charitable Trust, 2/42A, Ramnagar Colony, Church Road",0562 2858573,27.204177,78.003361
 Lokhitam Blood Bank,"D-520, Kamla Nagar","0562 3276700, 0562 22883111",27.215043,78.02117
G.R. Hospital and Research Centre Private limited,"Near Bhole Baba Dairy, Barauli Ahir, Shamsabad Road",9027111947,27.12969,78.052565
Pushpa Maa Samaj Charitable Blood bank,"1st Floor, Gihar Complex, Khandari, X-ing, NH - 2,",0562 6451121,27.21103,77.989507
Sri Jagdamba Charitable Blood Bank and Component,"D-101, Phase-2, Trans Yamuna Colony,","0562 6541977, 0562 3259291",27.203435,78.046861
Manav Seva Charitable Blood Bank,"5/75, Old Mathura Road, Madiya Kayra",7500809089,27.2110309,77.9895105
"Malkhan Singh, District Hospital Blood Bank","Rasalganj Road, City, Aligarh",0571 2523338,27.889079,78.071255
Har Prasad Blood Bank,Badaun,0571 2405420,27.8748712,77.9545906
J.N. Medical College Blood Bank,"AMU Aligarh
","0571 2720016, 0571 2721113, 0571 2720014",27.918377,78.088725
Dev Hospital Blood Bank,"18/205, Sarai Khirni, Agra Road",0571 2410061,27.616404,78.055196
Jeevan Jyoti Blood Bank," A Unit of Jeevan Jyoti Hospital, Soot Mill Crossing, G.T. Road",0571 2400515,27.8840001,78.076449
"Jeevan Sanjeevan Blood Bank, Jeevan Hospital","2/151, Bela marg, Vishnupuri",0571 2506162,27.882584,78.082163
Life Care Charibable Blood Bank,"Basement Narayani Hospital, Atroli Bus Stand, Ramghat Road",9927762424,27.8840001,78.076449
Shanti Nursing Home Blood Bank,"Shanti Nursing Home, Complex, Ramghat Road",0571-2742300,27.8944192,78.0884576
"S.R.N. Hospital, M.L. N. Medical College","Hanuman Mandir, Swarooprani Hospital, North Malaka",0532 2256507,25.456005,81.852791
Moti Lal Nehru District Hospital Blood Bank,"12 Dr. Katjoo Road, Allahabad Near Railway Station
",0532 2240031,25.439232,81.8286
S.M. Medicare Private Limited Blood Bank," 146, Karnal Ganj",0532 2461665,25.4609163,81.8581176
AMA (Allahabad Medical Association) Blood Bank,"Stanely Road, Allahabad
",0532 2266513,25.468205,81.844042
Tejbahadur Sapru Hospital Blood Bank,Stanley Road,0532 2267687,25.4784132,81.8503479
Mahamaya Rajkiya Allopathic Medical College,"Mahamaya Rajkiya Allopathic Medical College, Saddarpur Tanda 
",05273 213000,26.509125,82.6139
District Hospital Blood Bank,"District Hospital Blood Bank, Azamgarh
",05462 265172,26.6869797,79.4703885
District Hospital Blood Bank,"Friganj, Bahraich",05252 237265,27.572408,81.605903
Combined District Hospital Blood Bank,"Combined District Hospital, Balrampur
",05263 235776,27.409812,82.192775
District Hospital Blood Bank,"District Hospital, Banda
",05192 220415,25.48931,80.334888
District Hospital Blood Bank,"District Hospital, Barabanki",05248 228580,26.6869797,79.4703885
Hind Institute of Medical Sciences,"Near Minar Canal, Safedabad-Faizabad Road",05248 221399,26.906812,81.122637
Mayo Institute of Medical Sciences Blood Bank,"Run by Bodhisatva Charitable Trust, Faizabad Road, Gadia aizabad Road, Gadia, Barabanki, Dharsani","05248 229696, 05248 229595",26.909607,81.141778
Military Hospital Blood Bank,Hamirpur,0581 2403584,28.332012,79.426081
District Hospital Blood Bank,"Civil Lines, Bareilly, Uttar Pradesh
",0581 2550009,28.361399,79.416409
Ganga Sheel Charitable Trust Blood Bank," A-3, Rampur Garden","0581 2510083, 0581 2510140",28.347944,79.426794
Sri Ram Murti Samarak Institute of Medical Sciences Blood Bank,"Bareilly - Nainital Road, Bhojipura, Bareilly, Uttar Pradesh",0581 2582014-25,28.481101,79.443201
Ruhelkhand Medical College and Hospital Blood Bank,Pilibhit By Pass Road,"0581 2526011, 0581 2526012",28.380191,79.462087
Clara Swain Mission Hospital Blood Bank,"Civil Lines, Bareilly",0581 2500000,28.349627,79.415881
IMA Blood Bank,"IMA Bhawan, 110, Civil Lines",0581 2422900,28.346917,79.424735
Rajshree Medical Research Institute,"21 Km Near Toll Plaza, Rampur Road Bareilly",8192000281,28.48308,79.285312
District Hospital Blood Bank,Bhinga,05542 283273,26.800773,82.759197
M/s Sewa Blood Bank,"R.K. Puram, Near Kotwali",5542209030,26.7800781,82.76441135
OPEC Hospital Blood Bank,"OPEC Hospital, Basti
",05542 283021,26.779101,82.762356
District Hospital Blood Bank,Lakhimpur Khiri,01342 262710,29.384974,78.136521
Sarvodaya Jankalyan Samati,"Near Exchange, Kalagarh Road, Dharmpur","04344 230464, 04334 233533",26.005074,81.044749
District Hospital Blood Bank,Bareilly,05832 266264,28.027732,79.126275
Wadhwa Blood Bank,"Chattari Compound, Teachers Colony Road, Near Lala Ka Chaurah",05732 233998,28.410102,77.8422717
Babu Banarasi Das District Hospital Blood Bank,Gonda,05732 254633,28.728373,77.468591
NAPS (Narora Atomic Power Station) Hospital Blood Bank,Narora,05734 222261,28.205915,78.379131
Pt. Kamlapati District Combined Hospital,"District Combined Hospital, Chandauli
",05412 260497,25.258688,83.2737859
Combined District Hospital Blood Bank,"Combined District Hospital
",05198 236555,25.196167,80.914609
District Hospital Blood Bank,"Saket Nagar, Deoria",05568 227691,26.495682,83.781488
District Hospital Blood Bank,Ferozabad,0574 2234091,26.6869797,79.4703885
Dr. Bhimrao Ambedkar Combined Hospital (District Hospital),"Civil Lines, Etawah
",05688 255526,26.787903,79.005523
Rural Institute of Medical Sciences and Research,Safai,05688 276563,26.96145,78.962055
District Hospital Blood Bank,Shahjahanpur,05278 220078,26.777679,82.141614
The Care Hospital Blood Bank,"5C/A-22, Avas Vikas, Near Lohiya Hospital",05692-240248,27.381687,79.6010758
Shyam Nursing Home and Blood Bank,"400/761, Civil Line (Near S.P. Residence)",05180 221166,25.930647,80.800955
"SNM, District Hospital Blood Bank","Rehna Road, Bypass Road Company Baag, Arya Nagar
",9639011119,27.157627,78.389439
Sevarth Sansthan Blood Bank,"Sevarth Sansthan Seth Bimal Kumar Jain Trauma and Phsytherapy Dharmarth Samiti, NH-2, Agra Road","05612 240022, 05612 240033",27.23053,78.21226
Naveen Hospital,Railway Road,0120 2321356,28.477615,77.518568
International Hospital Private Limited Blood Bank," B-22, Sector -62","0120 4300222,0120 2400222 ",28.5987611,77.3471111
Noida Charitable Blood Bank," 2Nd Floor, Khasra No. 587, I Block Near Shiv Mandir, Moolchand Tower Village-Chaura Sec-22, Noida",0120-2414555,28.599059,77.3451042
Sharda Hospital Blood Bank,"Plot No. 32-34, Knowledge Park-III",0120 3212361,28.474444,77.4827
Kailash Hospital Llimited," A unit of Kailash Group of Hospitals Limited, 23 KP-1, NEAR PARI CHOWK","0120 2327338, 0120 2327339",28.577474,77.331606
Shri Krishna Life Line Hospital Blood Bank ,"NH-22D, Sector Tau Swarn Nagri, Greater Noida, Gautam Buddha Nagar",120 2399180,28.460872,77.532452
Kailash Hospital and Heart Institute ,"A Unit of Kailash Healthcare Limited, H-33, Sector-27, Noida",0120 2444444,28.577472,77.331603
Metro Hospital and Heart Institute,"X-1, Sector -12","0120 2533491,0120 2533489",28.597462,77.338017
Prayag Hospital and Research Centre,"J-206/A-01, Sector-41",0120 4021900,28.563602,77.365447
Prakash Hospital Blood Bank,"D-12, 12-A, 12-B, Sector-33",0120 2505264,28.58564,77.34952
Rotary Noida Research and Social Welfare Trust Blood Bank,"E-2, IMA House, Sector-31, Nithari",0120 4282685,28.576931,77.339491
Jaypee Hospital Blood Bank,"A Unit of Jaypee Healthcare Limited, Sector-128",0120 4582868,28.515258,77.371495
Modern Pathology and Blood Bank,"SA-96, Shastri Nagar",0120 2752570,28.6728333,77.4595769
Santosh Medical and Dental College,Kushinagar,"0120 2791741, 0120 2791735",28.670024,77.432342
"MMG, District Hospital Blood Bank","MMG, District Hospital Ghaziabad",0120 2853030,28.662528,77.42361
Yashoda Hospital and Research,3rd M Nehru Nagar ,"0120 4182000, ext.128",28.66037,77.442026
Life Line Blood Bank,"Life Line Blood Bank 3rd B2 Nehru Nagar
",0120 2793989,28.669238,77.440304
"Yashoda Hospital and Research Centre Limited, Kaushambi","H-1, Kaushambi, Near Dabur Chowk, Ghaziabad",0120 4181900,28.659996,77.438403
Lok Priya Hospital Blood Bank," G.T. Road, Modinagar",01232 247556,28.968368,77.730589
"Pushpanjali Crossley Hospital (Max Superspeciality Hospital, Vaishali)","W-3, Sector-I, Vaishali",0120 4173042,28.634769,77.333007
M/s Shanti Gopal Hospital Blood Bank,"Plot No. NH-1, Ahinsa Khand-II, Indrapuram",0120 4777000,28.641918,77.379325
Family Health Care Hospital Blood Bank,"15-H.C. -1 Vasundhara, Gaziabad, Uttar Pradesh",0120 4225556,28.652652,77.360171
Atlanta Mediworld Multispeciality Hospital,"NH-1, Sector-14, Vasundhara",1204735555-1302,28.657847,77.360777
Bhagwan Buddha Charitable Blood Bank,"1St Floor, Central Market Sector 2B Vasundhara Ghaziabad",0120-4356147,28.6706087,77.3797601
Dev Nandani Hospital Blood Bank,"Near Railway Crossing, Garh Road",0122 3200800,28.728814,77.792219
Rama Medical College and Research Centre Blood Bank ,"Run by Rama Educational Society, Rama Delhi NH-24 [38km milestone] Hapur",0122 2327300,28.69787,77.607979
Narinder Mohan Hospital and Heart Centre,"Mohan Nagar, Ghaziabad.
","0120 2657501-505, EXT No- 340",28.666671,77.439269
District Hospital Blood Bank,Balrampur,05262 225358,27.409813,82.192774
City Blood Bank,"Pratibha Complex,  Infront of Jubilee Inter School, Jublee Nagar ",0551 2346357,26.753844,83.364532
Air Force Hospital Blood Bank,Maharajganj,0551 2272381,26.759066,83.420833
District Hospital Blood Bank,Bareilly,0551 2332203,26.6869797,79.4703885
Nehru Hospital and B.R.D. Medical College,Gorakhpur,"0551 2508815, 0551 2508814",26.813424,83.400296
Guru Shri Gorakhnath Chikitsalaya Blood Bank, Gorakhnath Mandir,"0551 2257138, 0551 2257570",26.776322,83.357794
Fatima Hospital Blood Bank,Padri Bazar,0551 2281862,26.787217,83.400142
Savitri Blood Bank and Component Centre,"Savitri Hospital Campus, Dilezakpur, Cinema Road
"," 0551 2205914, 0551 220915, 0551 2205916",26.758493,83.364814
Shree Lakhan Sewa Kailashi Chairitable Blood Bank,Near Patna Chauraha Barhalganj,7269826744,26.284582,83.506611
Saraswathi Institute of Medical Science,"NH-24, Anwarpur Pilkhuwa",0122 2320511,28.713701,77.692994
Government Medical College and Hospital Blood Bank,"Government Medical College and Hospital, Orai",05162 210201,25.999845,79.473401
District Hospital Blood Bank,Ghaziabad,05452 263554,25.759674,82.696747
Sant Diagnostic Centre and Blood Bank,"25/1A, Sant Bhawan, Opposite to MLB Medical College, Between Gate no -1 & 2, Kanpur Road Jhansi",0510 2320831,25.45845516,78.61560658
District Hospital Blood Bank,"Shivpuri Road, Rajghat Colony, Jhansi.",0510 2448442,25.457843,78.57868
St. Judes Hospital Blood Bank,"St. Judes Hospital Campus,
 Sipri, Jhansi",0510 2360957,25.462874,78.547451
Gaurav Diagnostic Center and Blood Bank,"Opposite Gate No:1, MLB Medical Collage, Jhansi",0510 2320824,25.4573121,78.6140817
Nirmal Hospital Blood Bank,Opposite Medical College Gate No.-03,0510 2322028,25.460278,78.617827
Parakh Voluntary Blood Bank ,"Run by Samagra Vikash Jan Kalyan Samiti, Karguawaji Road, Opposite Gate No.-2",0510 2321134,25.458336,78.616978
Combined District Hospital Blood Bank,"Combined District Hospital, Kannauj",05694 237627,27.118091,79.712484
Combined District Hospital (M) Blood Bank,"Akbarpur, Kanpur Dehat ",05111 270728,26.380489,26.380489
Mariampur Hospital and Blood Bank,Shastri Nagar,0512 216788,26.465207,80.305556
Life Line Blood Bank," B-1, Sarvoday Nagar","0512 2295797, 0512 2219473",26.479559,80.299895
Regency Hospital Limited," A-2, Sarvodaya Nagar",0512 2242201-10,26.479223,80.316263
GSVM Medical College Blood Bank,"Swaroop Nagar, Kanpur",7706922922,26.481102,80.307684
Sneh Pathology X-ray and Blood Bank,"133/10, O-Block, Kidwai Nagar",0512 2601408,26.439394,80.33679
"UHM, District Hospital","Shop No. 30/01, Mall Rd, Bada Chouraha, Parade Chouraha, Parade, Kanpur",0512 2311144,26.474045,80.346099
Air Force Hospital," Nathu Singh Road, Saharanpur",0581 2403584,26.446739,80.375727
CLM Hospital and Blood Bank,"121/625, Industrial Estate, Shastri Nagar",0512 2241595,26.463772,80.296612
Sai Blood Bank,"N-2, Kidwai Nagar",0512 2607720,26.433311,80.322243
Rama Medical College Hospital and Research Centre,"Rama Medical College Hospital & Research Centre,
Blood Bank, GT Road, Mandhana, Kanpur","0512 2780882, 0512 2780886",26.567295,80.220837
LPS Institute of Cardiology,"Mall Road, Sarvodaya Nagar",0512 2532269,26.481154,80.303811
Tulsi Hospital Limited,"14/116-A, Civil Lines","0512 2536404, 0512 2536406",26.479826,80.344033
Krishna Super Speciality Hospital ,"A Unit of Gita Healthcare Private Limited, 363, Harrisganj, Near Tatmil Chauraha","0512 2320061, 0512 2320071",26.448475,80.344084
SPM Hospital Research and Trauma Centre Blood Bank," A Unit of Tyco Hospitals Private Ltimited, C-48, Kalyanpur",0512 2570553,26.501131,80.257486
Combined District Hospital,Manjhanpur,05331 232030,25.361049,81.403171
District Hospital,Chitrakoot,05176 272343,24.696225,78.412323
Career Institute of Medical Sciences and Hospital Blood Bank ,"A Unit of Career Convent Education and Charitable Trust, Sitapur-Hardoi Bypass Road, Near IIM","0522 2960429, 0522 2960439",26.91543,80.909715
Indira Diagnostic and Blood Bank Limited," Sanjay Gandhi Puram, Faizabad Road",0522 2380084,26.870091,80.971582
Sanjay Gandhi Post-Graduate Institute (SGPGI),"Department of Transfusion Medicine, Sanjay Gandhi Postgraduate Institute of Medical Sciences, Rae Bareli Road","0522 2494500, 0522 2495341",26.742135,80.945981
Balrampur Hospital Blood Bank,"Balrampur Hospital, Chakbast Road, Qaiserbagh, Lucknow, Uttar Pradesh","0522 22624040, 0522 2629949",26.856601,80.926431
Command Hospital Blood Bank,Faizabad,0522 2296288,26.81745,80.940818
Dr. Shyama Prasad Mukharjee Civil Hospital,Gorakhpur,0522 2239595,26.844593,80.948999
Vivekanand Polyclinic and Institute of Medical Sciences,Vrindaban,"0522 2328942, 0522 2321277",26.875283,80.942804
Kohli Blood Bank and Components Private limited,"2nd Floor, A-Block, Kanchan Market, Chowk",0522 2259004,26.865274,80.911431
Eras Medical College and Hospital Blood Bank,"Sarfaraj Ganj, Musabag, Picnic Spot-Hardoi Road","0522 2408122,0522 2408123",26.878389,80.872448
Shekhar Hospital Private Limited Blood Bank,"B Block, Church Road, Indira Nagar, Lucknow","0522 2352352, 05224927272",26.876188,80.985528
Nidan Diagnostic Centre and Blood Bank,"4/31, Captan Manoj Pandey Chauraha, Vivek Khand, Gomti Nagar",0522 2393390,26.854084,80.995132
St. Joseph Hospital Blood Bank,"Vishal Khand-5, Gomti Nagar",0522 4054247,26.854293,80.991967
B.N.K. Hospital Blood Bank,"B-1/196 Nirala Nagar, Lucknow",0522 4049945,26.879585,80.932757
Lucknow Nursing Home Association Blood Bank,"c 228, Officers Colony, Nirala Nagar",0522 4070185,26.878474,80.938496
Sahara Hospital Blood Bank,"Viraj Khand, Gomati Nagar","0522 6781680, 0522 6781683",26.850106,81.023867
Divine Heart Hospital and Research Centre Blood Bank,"Viraj Khand, Institutional Area - 5, Gomti Nagar","0522 2721991, 0522 2721995",26.859198,81.023215
Nova Hospital Limited,"Patrakarpuram Crossing Vikash Khand-1,Gomti Nagar",0522 2300024,26.850001,80.983334
Fatima Hospital Blood bank," 35-C, Mahanagar Colony","0522 2961196, 0522 2323195",26.871551,80.952133
Dr O P Choudhery Hospital Blood Bank,"Chaudhary Vihar, Raibarely Road",0522 2441172,26.785201,80.973148
Integral Institute of Medical Sciences and Research Blood Bank,"Kursi Road, Lucknow","0522 2890730, 0522 2890812",26.957942,81.002588
Medison Hospital Private Limited Blood Bank,"Medison Hospital & Blood Bank, UGF,D3 Durgapuram Colony Sector 13 VikasNagar, Near Goel Motors,Near Tedhi Pulia,Ring Road","0522 2739917, 0522 2739918",26.90491,80.959052
Fehmina Hospital and Blood Bank,"Victoriaganaj, Near Sunni Inter College, Tulsidas marg",7860059998,26.854943,80.90488
Charak Hospital and Research Center Blood Bank,"Dubagga Hardoi Road, Lucknow",9415410623,26.872555,80.871172
Agrawal Life Line Hospital and Trauma Centre Blood Bank,"Kamdhenu Nagar, Agra Road",0565 2430857,27.435244,77.701066
District Hospital Blood Bank,Etah,0565 2401199,25.351229,82.986065
Sadbhawna Charitable Blood Bank,"3, Chandra Lok Colony, Goverdhan Chauraha, NH-2",5652421198,27.5001044,77.6534961
"Rotary Blood Bank, Rotary Point","Near Alwar Railway Bridge, Delhi-mathura NH-2",8171911911,27.5117922,77.654894
Nayati Blood Bank,"Nayati Multi Super Specialty Hospital, Awagarh Farm, NH-2",0124-6678484,27.5347095,77.6590554
Krishna Mohan Hosp,Pali Dungra Sonkh Road,8477000180,27.4078,77.542
Ramakrishna Mission Sevashrama ,"Swami Vivekananda Road, Near Anandmayee Maa Temple, Mathura, Vrindaban",0565 2442310,27.571999,77.694371
Fatima Hospital Blood Bank,"Fatima Hospital, Chandmari Imiliya Road, Maunathbhanjan, Mau",0547 220943,25.923014,83.570215
Kailashi Super Speciality Hospital,"C - 2, Shardhapuri, Phase-2, Kanker kheda",0121-2632226,29.0292096,77.6700132
Military Hospital,Pratapgarh,0121 2643012,28.987584,77.689042
Lokpriya Hospital Blood Bank,"Samrat Palace, Garh Road",0121 2760040,28.968374,77.730585
SVBP Hospital Blood Bank,LLRM Medical College Campus,0121 2763647,28.958429,77.753433
Subharti Hospital Blood Bank, Meerut by Pass Road,"0121 2439150, 0121 2439112",28.961414,77.638197
Sanjeevani Blood Bank,"644, Bhagpat Road",0121 2525864,28.972402,77.687042
Kamana Hospital and Research Centre," A Unit of Kamna Medical Centre Private Limited, 187, Bagpat Road",0121 4002113,28.9702801,77.6910782
Anand Hospital Blood Bank," A-1, Damodar Colony, Garh Road",0121 2792000,28.96181,77.746366
Jaswant Rai Specialty Hospital Blood Bank,"Opposite Sports Stadium, Civil Lines, Mawana Road","0121 2663888, 0121 2663887, 0121 2651700",28.991297,77.72323
District Hospital Blood Bank,Sultanpur,05442 253092,25.154094,82.577234
